ip_new,location_new,device_new,time_deviation,password_attempts,failed_attempts_24h,geo_distance,label
0,0,0,0.03,3,0,458.81,0
0,0,0,0.52,1,1,225.44,0
0,0,1,0.24,1,0,359.71,0
0,1,0,0.02,1,2,302.78,0
1,0,0,0.74,2,4,372.18,1
0,0,0,0.12,2,2,50.22,0
1,0,1,0.29,3,0,21.13,0
0,0,0,0.08,1,0,156.01,0
0,0,0,0.1,1,0,179.2,0
0,0,0,0.62,1,0,434.78,0
0,0,0,0.34,2,1,168.64,0
1,1,0,0.96,2,2,1563.43,1
0,0,0,0.2,1,0,31.47,0
1,1,0,0.86,3,2,1455.69,1
1,0,1,0.14,1,2,67.62,0
0,0,0,0.07,2,0,78.93,0
0,0,0,0.62,1,0,467.45,0
0,1,0,0.93,4,3,1674.44,1
1,1,0,0.22,1,0,457.33,0
0,0,0,0.35,2,0,467.58,0
0,0,0,0.07,2,0,57.28,0
0,0,0,0.68,1,0,25.8,0
0,1,0,0.37,3,2,116.05,0
0,0,0,0.19,3,0,241.02,0
0,1,1,0.68,3,2,1492.99,1
0,1,0,0.06,1,1,219.6,0
1,1,1,0.82,3,4,1919.64,1
0,1,1,0.89,3,3,1493.95,1
0,0,0,0.3,1,0,44.93,0
0,0,1,0.22,1,0,364.21,0
1,1,0,0.96,2,3,1577.67,1
0,0,0,0.42,1,0,115.97,0
0,0,0,0.7,1,0,198.0,0
1,1,0,0.8,3,3,512.37,1
1,0,1,0.85,3,2,1221.68,1
0,0,0,0.44,3,0,487.74,0
1,1,0,0.74,5,3,1978.29,1
0,0,1,0.61,1,0,492.49,0
0,0,0,0.22,2,1,413.13,0
0,0,0,0.07,1,0,94.67,0
1,0,0,0.42,1,0,65.32,0
0,0,0,0.48,1,1,407.67,0
1,0,0,0.41,1,0,273.12,0
0,0,0,0.44,1,0,493.09,0
0,0,1,0.34,3,0,330.18,0
1,1,0,0.15,1,0,88.08,0
1,1,0,0.55,2,4,1259.82,1
1,0,1,0.92,5,1,434.99,1
1,1,1,0.53,3,4,1757.65,1
0,0,0,0.07,1,2,214.56,0
0,0,0,0.57,3,0,166.73,0
1,0,1,0.77,3,2,1386.81,1
0,0,0,0.35,1,1,270.88,0
0,0,0,0.23,1,1,240.95,0
1,1,0,0.51,1,0,402.72,0
0,1,0,0.07,1,1,404.93,0
1,1,0,0.62,3,4,1579.09,1
0,0,0,0.05,1,0,314.21,0
1,0,1,0.35,1,0,142.66,0
1,1,0,0.48,2,1,1751.9,1
0,1,0,0.12,1,0,87.47,0
1,0,0,0.17,1,0,63.62,0
1,0,0,0.23,2,0,289.18,0
1,0,0,0.42,1,0,64.68,0
0,0,0,0.13,1,0,434.56,0
1,1,1,0.86,3,2,1991.52,1
0,0,1,0.3,1,0,185.59,0
0,1,0,0.31,1,1,320.61,0
0,0,0,0.33,1,0,320.02,0
0,0,0,0.41,1,2,405.7,0
0,1,0,0.42,1,0,351.32,0
1,0,0,0.44,1,0,211.79,0
0,0,0,0.51,2,0,314.12,0
0,0,0,0.53,1,0,470.57,0
0,0,0,0.15,3,1,394.98,0
0,0,1,0.45,1,1,225.44,0
1,0,0,0.12,1,2,278.38,0
1,1,0,0.65,3,3,529.55,1
1,0,0,0.51,1,0,107.57,0
0,0,0,0.41,1,0,271.22,0
1,0,1,0.72,2,2,1676.9,1
0,0,0,0.09,1,1,248.23,0
0,0,0,0.46,1,2,468.07,0
0,0,0,0.38,1,1,264.42,0
0,0,0,0.32,1,0,322.62,0
0,1,1,0.4,3,2,616.49,1
0,0,0,0.13,1,0,214.98,0
0,1,1,0.54,5,1,1493.7,1
0,0,0,0.02,1,0,21.77,0
0,0,0,0.38,1,0,427.98,0
0,1,0,0.55,1,2,341.73,0
0,0,1,0.51,1,1,233.72,0
0,1,1,0.6,1,2,306.33,0
0,0,1,0.49,1,0,187.24,0
1,0,0,0.48,3,0,165.81,0
0,0,0,0.08,1,1,129.31,0
0,0,0,0.57,1,0,201.52,0
1,1,1,0.62,2,2,1857.09,1
0,0,0,0.04,2,0,68.95,0
0,0,0,0.51,1,0,251.64,0
0,0,0,0.35,3,0,35.03,0
1,0,0,0.84,3,4,1118.12,1
0,0,1,0.69,1,1,49.88,0
0,1,1,0.6,2,4,200.6,1
1,1,1,0.46,3,2,1122.65,1
0,0,0,0.27,1,0,170.42,0
0,0,0,0.44,3,0,108.57,0
0,0,0,0.27,3,0,386.87,0
0,1,0,0.51,1,0,289.17,0
0,0,0,0.39,1,0,135.61,0
0,1,0,0.23,1,1,468.86,0
0,0,0,0.28,1,0,319.97,0
1,0,0,0.5,1,0,82.11,0
0,1,1,0.72,2,1,1722.48,1
0,0,1,0.51,1,1,244.83,0
0,0,0,0.45,1,0,339.63,0
0,0,0,0.49,1,0,0.72,0
0,0,1,0.47,1,0,299.34,0
0,1,1,0.34,1,0,337.44,0
0,1,0,0.4,2,3,1949.39,1
0,0,0,0.02,1,0,226.37,0
0,1,0,0.88,2,3,381.48,1
0,0,1,0.35,3,0,238.78,0
0,1,0,0.49,3,2,1685.49,1
0,1,0,0.44,1,0,389.87,0
1,1,0,0.55,2,2,1613.23,1
0,1,1,0.45,1,0,392.83,0
1,1,1,0.57,1,0,43.49,0
0,0,0,0.23,1,2,160.0,0
0,0,0,0.36,1,0,100.95,0
0,0,0,0.47,1,1,319.87,0
0,0,1,0.17,1,0,379.56,0
0,0,0,0.23,1,0,287.14,0
0,0,0,0.28,2,2,39.47,0
0,1,0,0.62,1,2,175.24,0
0,0,0,0.53,1,1,337.28,0
0,0,0,0.06,2,0,478.37,0
0,0,0,0.24,1,2,306.0,0
0,0,0,0.38,3,1,116.09,0
1,1,1,0.86,5,3,1961.64,1
0,0,0,0.49,1,0,416.38,0
0,0,0,0.66,2,0,84.54,0
1,0,1,0.73,4,5,1581.22,1
0,0,0,0.49,1,0,201.88,0
0,0,0,0.04,1,0,168.62,0
0,0,0,0.41,1,1,103.19,0
0,0,0,0.56,4,3,629.38,1
0,0,0,0.56,2,0,231.9,0
0,0,0,0.57,2,0,290.42,0
0,0,0,0.44,1,0,409.19,0
0,0,0,0.34,1,0,169.78,0
0,0,0,0.17,1,0,16.37,0
0,1,0,0.06,1,0,410.79,0
0,0,0,0.4,1,0,171.72,0
0,0,0,0.16,2,0,165.15,0
1,0,1,0.87,4,3,1713.94,1
1,0,0,0.35,1,0,137.35,0
0,0,0,0.54,2,0,181.69,0
0,0,0,0.36,1,1,135.7,0
0,0,0,0.01,2,1,498.97,0
0,0,0,0.33,1,0,387.18,0
0,1,0,0.15,1,0,140.89,0
0,0,0,0.11,1,0,378.64,0
0,0,0,0.05,1,1,290.67,0
0,0,0,0.05,1,0,198.87,0
1,0,0,0.95,2,2,195.91,1
0,1,0,0.53,2,0,345.46,0
0,0,1,0.37,1,0,268.43,0
1,1,1,0.51,4,3,1965.6,1
1,0,0,0.08,1,1,172.99,0
0,0,0,0.02,1,1,398.71,0
0,0,0,0.05,1,0,394.4,0
1,1,1,0.74,5,2,1422.05,1
0,1,1,0.98,2,1,762.3,1
0,0,1,0.36,3,0,57.93,0
1,0,1,0.45,1,0,11.83,0
0,0,0,0.48,1,1,224.84,0
0,0,0,0.22,2,0,391.31,0
0,0,0,0.46,1,0,274.34,0
0,0,0,0.28,1,1,353.2,0
0,0,0,0.64,2,0,462.4,0
0,1,0,0.69,1,1,290.51,0
0,0,0,0.42,1,1,216.81,0
0,0,1,0.64,1,0,46.44,0
0,0,0,0.16,1,0,237.15,0
0,0,1,0.31,1,0,476.15,0
0,0,0,0.02,1,0,261.65,0
0,0,0,0.01,1,0,120.51,0
0,0,0,0.42,1,0,131.21,0
0,0,0,0.15,1,0,142.52,0
0,0,0,0.67,1,0,123.77,0
0,0,0,0.2,2,0,316.22,0
0,0,0,0.15,1,1,65.89,0
1,1,1,0.75,2,3,1209.79,1
1,1,1,0.49,5,4,582.97,1
0,0,0,0.5,3,0,96.15,0
0,0,0,0.57,3,1,214.61,0
0,0,1,0.37,2,0,295.01,0
1,1,0,0.32,1,2,259.2,0
0,1,0,0.46,2,1,204.37,0
1,0,1,0.49,5,2,255.8,1
0,0,1,0.02,1,0,47.58,0
0,0,0,0.67,1,0,352.15,0
1,0,1,0.1,1,0,197.79,0
1,0,0,0.06,1,0,344.8,0
1,1,1,0.82,2,3,933.84,1
0,1,0,0.91,2,2,733.67,1
0,0,0,0.63,1,2,59.43,0
0,0,1,0.44,1,0,162.55,0
0,0,0,0.44,3,0,59.33,0
0,1,0,0.07,1,1,425.25,0
0,0,0,0.23,1,0,170.52,0
0,0,0,0.23,2,0,474.26,0
0,0,0,0.32,2,0,449.33,0
0,0,0,0.66,3,2,1552.09,1
1,0,1,0.23,3,0,362.41,0
1,0,0,0.59,2,0,322.07,0
1,0,0,0.67,3,0,447.8,0
0,1,0,0.16,1,1,248.97,0
0,0,1,0.12,1,0,310.36,0
0,0,0,0.62,1,2,98.15,0
0,1,0,0.8,4,2,487.08,1
0,1,0,0.66,1,0,54.42,0
0,0,0,0.28,3,0,468.89,0
1,1,1,0.98,5,4,1025.93,1
0,0,0,0.21,1,0,40.11,0
0,0,0,0.41,1,0,92.12,0
0,0,1,0.19,1,0,134.75,0
0,0,0,0.56,1,0,25.68,0
0,0,0,0.69,3,0,352.79,0
1,0,0,0.37,1,0,241.25,0
0,0,0,0.12,1,0,296.75,0
1,0,0,0.7,2,5,407.03,1
1,1,1,0.95,2,1,927.01,1
0,0,0,0.01,1,0,30.03,0
1,1,1,0.64,5,2,684.01,1
0,0,0,0.18,1,1,351.1,0
0,0,1,0.57,3,0,35.59,0
1,1,1,0.66,4,3,1753.83,1
1,1,0,0.57,2,3,596.41,1
1,0,1,0.58,3,2,640.03,1
0,0,0,0.16,1,0,157.05,0
0,0,0,0.0,2,0,128.85,0
1,0,0,0.18,3,0,163.46,0
0,0,0,0.49,1,1,380.5,0
0,0,0,0.02,1,0,27.21,0
0,0,0,0.57,2,0,119.41,0
0,0,0,0.55,1,2,471.0,0
0,0,0,0.24,1,0,384.21,0
0,0,0,0.64,3,1,318.45,0
0,0,0,0.34,1,2,84.71,0
1,0,0,0.55,2,1,418.12,0
0,0,0,0.01,1,1,495.9,0
0,1,0,0.65,1,0,229.99,0
0,0,0,0.38,1,0,453.59,0
0,0,0,0.35,2,0,329.87,0
1,1,0,0.45,3,4,267.18,1
0,1,1,0.4,2,1,350.49,0
0,1,0,0.6,1,0,486.11,0
0,0,0,0.26,3,0,433.52,0
1,0,0,0.41,1,2,216.5,0
0,1,0,0.47,2,0,156.45,0
0,0,0,0.32,1,0,399.97,0
0,0,0,0.39,1,1,379.06,0
1,1,0,0.48,3,2,1276.74,1
0,0,0,0.06,1,1,28.89,0
0,0,0,0.47,2,1,185.59,0
1,0,0,0.38,2,1,80.2,0
0,0,0,0.05,1,0,2.92,0
0,0,1,0.31,1,0,442.05,0
0,0,0,0.52,1,0,98.2,0
0,0,0,0.19,2,0,172.88,0
0,0,0,0.24,1,2,242.8,0
0,0,0,0.31,1,0,418.96,0
0,1,0,0.83,3,3,657.94,1
0,1,0,0.52,1,0,175.42,0
1,1,1,0.84,5,2,1455.92,1
0,1,1,0.55,1,0,68.55,0
1,0,1,0.78,3,2,576.11,1
0,0,0,0.3,1,0,468.14,0
0,0,0,0.32,2,0,244.12,0
0,1,1,0.33,1,0,188.77,0
1,0,0,0.02,1,0,400.34,0
0,0,0,0.34,2,2,64.67,0
0,0,0,0.69,1,1,114.98,0
1,0,0,0.48,2,3,349.1,1
0,0,0,0.55,1,0,276.32,0
0,0,0,0.4,1,1,383.35,0
1,0,0,0.02,2,0,453.12,0
0,0,0,0.46,1,1,126.94,0
1,0,0,0.57,5,3,697.8,1
0,0,0,0.09,1,0,122.92,0
0,0,0,0.14,3,0,368.48,0
1,1,0,0.83,3,1,1263.35,1
0,0,0,0.0,1,0,276.19,0
1,0,0,0.04,1,1,248.38,0
0,1,0,0.11,1,1,23.69,0
0,0,1,0.13,1,2,90.49,0
1,1,0,0.45,4,3,1081.36,1
0,0,1,0.19,1,0,288.6,0
1,1,1,0.69,3,2,117.66,1
0,0,0,0.59,3,0,112.41,0
0,0,0,0.67,1,0,441.46,0
0,1,0,0.2,1,0,225.82,0
1,1,0,0.24,1,0,414.32,0
0,0,0,0.23,1,0,200.58,0
0,0,0,0.36,3,0,476.59,0
0,0,0,0.01,1,0,463.1,0
0,0,0,0.02,2,0,259.04,0
0,1,0,0.29,1,0,108.74,0
1,0,1,0.45,1,1,420.15,0
0,1,0,0.19,2,1,463.27,0
0,0,0,0.12,1,0,395.77,0
0,0,0,0.65,1,0,96.52,0
0,0,0,0.48,1,0,449.68,0
1,0,1,0.98,4,3,909.17,1
0,0,0,0.26,1,0,470.37,0
0,0,0,0.1,2,0,71.92,0
0,0,1,0.06,2,0,0.73,0
1,1,0,0.55,4,3,699.98,1
1,0,1,0.99,3,5,1751.23,1
0,0,0,0.67,3,0,80.26,0
0,0,1,0.37,1,0,137.61,0
0,0,0,0.24,1,1,177.21,0
0,0,1,0.64,1,2,148.76,0
1,0,0,0.13,2,0,265.27,0
0,1,0,0.48,3,1,624.0,1
0,1,0,0.56,2,0,99.15,0
0,0,0,0.5,2,0,15.26,0
0,0,1,0.16,1,0,331.54,0
0,0,0,0.27,1,0,287.75,0
0,0,0,0.34,1,0,22.52,0
1,0,1,0.76,2,4,1002.63,1
1,0,1,0.61,4,1,1355.62,1
0,0,0,0.47,1,0,255.42,0
0,0,0,0.26,1,0,278.73,0
0,0,0,0.34,3,1,183.31,0
0,1,1,0.69,5,2,1011.5,1
0,0,0,0.3,1,0,387.0,0
1,0,0,0.39,2,0,307.02,0
0,0,0,0.05,1,2,417.99,0
1,0,0,0.28,1,0,179.16,0
1,0,0,0.07,1,0,301.22,0
0,0,0,0.26,1,2,42.9,0
1,1,1,0.67,4,2,1501.61,1
0,0,1,0.14,1,1,414.79,0
0,0,0,0.62,1,0,459.95,0
0,0,0,0.05,1,0,28.66,0
0,0,0,0.28,1,1,63.77,0
0,0,1,0.57,4,2,1355.62,1
1,1,1,0.55,5,5,107.91,1
1,0,1,0.58,3,2,1753.77,1
0,0,0,0.0,1,0,420.47,0
1,0,0,0.4,2,2,36.78,0
0,0,0,0.23,1,0,492.33,0
0,0,0,0.41,2,2,309.68,0
0,0,0,0.16,1,0,242.4,0
0,0,0,0.06,1,0,302.25,0
1,0,1,0.49,2,0,110.0,0
1,0,1,0.84,2,2,1598.39,1
1,0,0,0.19,1,0,237.82,0
0,0,0,0.29,1,0,226.24,0
0,0,0,0.68,2,0,374.26,0
0,1,0,0.24,1,0,50.11,0
0,1,1,0.12,1,1,259.14,0
0,0,0,0.07,2,2,186.85,0
1,0,0,0.59,5,1,761.19,1
1,1,1,0.54,4,2,1243.99,1
0,0,0,0.49,3,0,10.65,0
0,0,0,0.2,1,0,9.17,0
1,1,1,0.94,5,2,1899.08,1
1,0,0,0.07,1,0,232.8,0
0,0,1,0.57,3,5,1123.26,1
1,0,0,0.01,1,0,359.68,0
0,0,0,0.7,1,0,463.46,0
0,0,0,0.18,1,0,407.5,0
0,0,0,0.59,1,0,342.58,0
1,1,1,0.92,2,3,1461.62,1
0,0,1,0.08,2,0,115.51,0
0,0,1,0.28,1,1,256.49,0
0,0,0,0.54,3,2,449.68,0
0,0,1,0.48,1,0,29.7,0
0,0,0,0.4,2,0,36.29,0
0,0,0,0.54,2,0,340.8,0
0,0,0,0.55,1,0,191.13,0
0,0,0,0.54,1,0,213.77,0
0,0,0,0.52,2,1,100.84,0
0,0,1,0.35,2,0,34.73,0
1,1,0,0.27,1,0,114.68,0
0,1,1,0.46,4,3,1095.49,1
0,0,0,0.07,1,0,34.5,0
0,0,0,0.05,1,0,367.97,0
0,0,0,0.13,1,1,209.85,0
0,0,0,0.09,1,1,428.67,0
0,0,1,0.35,2,0,447.76,0
0,0,0,0.32,1,0,290.24,0
1,1,0,0.75,4,1,903.36,1
0,0,0,0.12,1,2,314.11,0
0,1,0,0.52,1,0,463.97,0
1,1,0,0.85,3,4,1709.75,1
0,0,0,0.15,1,1,391.98,0
1,1,0,0.46,4,4,1810.22,1
0,0,0,0.31,1,0,352.81,0
0,0,0,0.66,3,3,1955.66,1
1,0,1,0.48,1,0,243.42,0
1,0,0,0.1,1,2,139.44,0
0,0,0,0.32,3,1,348.37,0
0,0,1,0.47,1,0,442.61,0
0,0,1,0.65,1,0,268.54,0
1,1,0,0.55,4,3,232.76,1
1,1,1,0.56,5,1,316.69,1
0,1,0,0.5,1,0,111.75,0
0,0,0,0.14,1,0,169.63,0
1,0,1,0.69,2,0,102.72,0
0,0,0,0.27,1,0,174.42,0
1,0,0,0.64,1,0,114.62,0
0,0,0,0.33,2,0,342.27,0
0,0,0,0.96,4,2,1662.19,1
1,1,0,0.54,4,2,727.41,1
0,1,1,0.92,2,2,1776.73,1
0,0,0,0.48,1,0,302.84,0
1,0,0,0.56,1,2,125.21,0
0,0,0,0.64,1,0,347.77,0
1,1,0,0.53,3,1,595.19,1
0,1,0,0.88,2,1,1736.96,1
0,0,0,0.24,1,0,20.68,0
1,0,1,0.62,3,2,1794.62,1
0,0,0,0.17,2,0,100.91,0
1,0,0,0.62,1,0,119.76,0
1,0,1,0.35,1,0,360.52,0
0,0,1,0.63,1,0,160.12,0
0,0,0,0.06,2,0,308.28,0
0,0,0,0.09,1,0,127.36,0
0,0,0,0.45,1,0,400.68,0
0,0,1,0.23,2,0,418.86,0
1,0,1,0.94,5,2,1478.84,1
0,0,0,0.1,1,0,478.73,0
0,0,0,0.04,1,0,79.87,0
0,0,0,0.15,2,2,445.55,0
0,1,0,0.66,3,1,277.4,1
1,0,0,0.19,3,0,301.76,0
0,0,0,0.63,2,0,490.88,0
0,0,0,0.03,1,1,202.56,0
0,0,1,0.41,1,0,414.76,0
0,0,0,0.32,1,0,196.25,0
0,0,1,0.13,3,2,277.81,0
0,1,0,0.62,1,0,487.31,0
0,1,0,0.44,1,0,106.34,0
0,0,1,0.85,4,2,973.33,1
1,1,0,0.31,2,1,296.52,0
0,0,0,0.27,2,0,21.6,0
0,1,0,0.49,3,0,418.89,0
0,0,0,0.25,1,1,471.93,0
0,0,0,0.43,1,0,154.46,0
0,0,0,0.47,3,0,79.28,0
0,0,1,0.03,1,0,347.68,0
0,0,0,0.12,2,0,171.24,0
0,0,1,0.16,1,0,489.23,0
0,0,0,0.28,1,0,331.75,0
0,0,0,0.12,1,0,268.9,0
0,0,0,0.69,3,1,444.57,0
1,1,0,0.52,2,3,1387.59,1
0,0,0,0.27,1,0,158.76,0
0,0,0,0.3,2,0,397.01,0
0,0,0,0.59,3,0,151.77,0
0,0,1,0.33,2,0,169.79,0
0,0,1,0.02,1,0,169.8,0
0,0,0,0.34,2,0,94.01,0
1,1,1,0.92,4,1,1490.94,1
0,0,0,0.4,1,1,12.6,0
0,1,0,0.29,1,0,336.52,0
0,0,1,0.55,1,1,320.87,0
0,0,1,0.29,1,0,119.0,0
0,0,0,0.23,1,0,219.92,0
0,0,0,0.23,3,0,413.32,0
0,0,0,0.12,1,0,451.51,0
0,0,0,0.01,1,0,116.93,0
0,0,0,0.7,1,0,79.87,0
0,1,1,0.57,2,4,1532.07,1
0,0,0,0.09,1,0,476.62,0
0,0,0,0.46,1,0,300.84,0
0,0,1,0.15,1,0,34.47,0
0,0,0,0.6,1,2,50.91,0
0,0,1,0.12,1,1,386.99,0
0,0,0,0.03,2,0,47.12,0
1,0,0,0.4,1,1,368.23,0
0,1,1,0.91,3,1,1836.81,1
0,1,0,0.58,1,1,461.38,0
0,0,0,0.19,1,2,25.82,0
0,0,0,0.64,3,0,450.16,0
0,0,0,0.52,3,0,220.18,0
1,1,1,0.54,5,2,920.37,1
0,0,0,0.53,1,0,140.06,0
0,0,0,0.68,1,0,288.49,0
0,1,0,0.43,3,4,1612.48,1
1,0,0,0.26,1,0,249.46,0
0,0,0,0.03,1,1,184.38,0
0,0,0,0.16,1,1,138.66,0
0,0,0,0.44,3,0,71.35,0
1,0,0,0.6,2,1,959.05,1
0,0,1,0.46,1,0,198.14,0
1,0,0,0.59,1,0,309.31,0
0,0,0,0.6,1,0,459.9,0
0,0,0,0.04,1,0,488.13,0
1,0,0,0.17,1,0,73.56,0
0,0,0,0.37,1,1,499.85,0
0,1,1,0.68,2,2,1964.57,1
0,0,0,0.0,1,0,355.84,0
0,0,0,0.32,1,0,423.71,0
0,0,0,0.45,1,0,207.72,0
0,0,0,0.21,1,0,490.01,0
0,0,0,0.2,2,0,95.36,0
1,1,1,0.67,3,3,1255.25,1
0,0,1,0.63,3,2,263.61,0
1,0,0,0.11,1,0,341.11,0
0,0,0,0.04,2,0,97.86,0
0,0,0,0.1,1,0,113.6,0
0,0,0,0.21,1,0,430.4,0
0,0,0,0.43,1,2,91.69,0
0,0,0,0.07,1,0,32.0,0
0,0,0,0.52,1,0,176.19,0
0,0,0,0.57,3,0,248.82,0
0,0,0,0.45,1,1,169.54,0
0,0,0,0.1,1,2,128.42,0
0,0,0,0.49,3,0,280.57,0
1,1,0,0.77,4,1,912.69,1
1,0,1,0.06,1,0,220.44,0
1,1,0,0.71,2,2,587.8,1
0,0,1,0.1,3,2,442.29,0
0,0,0,0.49,1,0,63.26,0
1,1,0,0.79,5,2,1593.5,1
1,0,0,0.15,2,0,444.65,0
1,0,0,0.0,1,0,371.91,0
0,0,0,0.5,1,0,486.05,0
1,1,1,0.63,4,4,1810.9,1
0,0,1,0.41,1,0,422.42,0
1,1,1,0.68,3,4,1178.95,1
1,1,1,0.71,2,3,1735.19,1
0,0,0,0.46,1,0,186.64,0
0,0,1,0.49,1,1,354.31,0
0,0,0,0.09,1,0,239.66,0
0,0,0,0.31,1,1,165.17,0
1,1,1,0.65,4,3,1370.65,1
0,0,1,0.69,3,0,123.04,0
0,0,0,0.75,5,1,1527.74,1
1,1,0,0.64,3,1,1550.89,1
1,0,0,0.96,3,3,508.41,1
1,1,0,0.38,3,0,210.06,0
0,0,0,0.6,1,0,115.27,0
0,0,0,0.47,1,0,74.54,0
0,1,1,0.36,1,0,27.38,0
0,0,0,0.52,1,1,410.02,0
1,0,0,0.1,1,1,43.79,0
1,1,1,0.5,2,3,781.96,1
0,0,0,0.63,4,2,192.76,1
0,0,0,0.5,2,0,256.93,0
0,0,0,0.41,1,1,345.23,0
0,0,0,0.05,2,1,189.33,0
0,0,1,0.36,1,0,389.49,0
0,0,0,0.65,1,1,342.22,0
0,0,0,0.49,1,1,322.01,0
0,0,0,0.26,1,0,119.19,0
0,1,1,0.17,2,0,458.76,0
0,1,0,0.11,1,0,239.68,0
0,0,0,0.67,1,0,276.74,0
1,0,0,0.11,2,1,192.18,0
0,0,0,0.18,3,0,99.86,0
0,0,0,0.45,1,0,315.69,0
0,0,0,0.12,1,0,267.4,0
0,0,1,0.2,1,2,108.53,0
0,0,1,0.15,1,0,437.39,0
0,0,0,0.52,5,3,1805.89,1
1,0,0,0.63,4,1,1512.61,1
0,0,1,0.37,1,0,33.2,0
0,0,1,0.93,4,1,557.04,1
0,0,0,0.25,3,0,428.88,0
0,0,0,0.19,1,2,150.17,0
0,0,1,0.39,2,0,361.36,0
0,0,0,0.11,1,0,228.8,0
0,0,0,0.02,1,0,471.46,0
0,0,1,0.69,1,2,273.66,0
0,0,0,0.3,2,0,42.93,0
0,1,0,0.37,1,0,78.05,0
0,0,1,0.02,1,2,488.6,0
0,0,0,0.34,1,0,387.84,0
0,0,0,0.62,1,1,29.88,0
0,0,0,0.16,1,0,74.97,0
1,1,0,0.7,5,3,1136.47,1
0,1,1,0.89,2,2,1927.59,1
0,0,0,0.55,5,3,902.76,1
0,0,0,0.54,1,0,56.99,0
0,0,0,0.28,2,0,295.55,0
1,0,1,0.57,3,3,1376.38,1
1,0,0,0.3,1,0,177.96,0
1,1,0,0.48,5,3,113.92,1
1,1,1,0.8,4,2,1821.32,1
0,0,0,0.56,1,0,53.41,0
0,1,0,0.72,4,4,1473.36,1
1,0,0,0.25,1,0,357.66,0
0,0,0,0.08,1,0,184.53,0
1,0,0,0.31,2,0,185.53,0
1,0,1,0.31,2,0,87.66,0
0,0,0,0.41,3,0,29.36,0
0,0,1,0.58,1,0,466.48,0
0,1,0,0.58,2,5,1293.69,1
0,0,1,0.51,4,3,719.07,1
0,1,0,0.67,2,0,200.96,0
0,0,0,0.68,1,0,37.79,0
0,0,0,0.42,3,2,414.59,0
0,0,0,0.05,1,0,286.99,0
